Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Authenticate - Login JWT,100,0,6,15.805123000245658,3.021299999090843,107.23610000422923,215.76,1.7097105720341348,0.0,6,13,17,27,39,64,100,110,110,110,110
POST,Authenticate - Register User,100,0,2200.0,2359.7875279990694,2065.285999997286,3785.2313999974285,106.55,1.7097105720341348,0.0,2300,2300,2400,2500,2800,3100,3700,3800,3800,3800,3800
POST,Predict - High CPU ML Target,2418,0,140.0,179.54673105873084,30.588800000259653,3164.308700004767,801.8684863523573,41.340801631785375,0.0,140,160,180,200,280,430,770,970,2400,3200,3200
,Aggregated,2618,0,140.0,256.57114621846614,3.021299999090843,3785.2313999974285,752.9216959511077,44.76022277585365,0.0,140,170,190,210,350,940,2300,2400,3400,3800,3800
