Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Authenticate - Login JWT,50,0,4,7.040917999984231,3.128099997411482,47.27940000157105,215.7,0.8541075733686828,0.0,4,6,6,7,11,19,47,47,47,47,47
POST,Authenticate - Register User,50,0,2100.0,2123.9437879993056,2065.8227000021725,2231.731599997147,105.9,0.8541075733686828,0.0,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200
POST,Predict - High CPU ML Target,1241,0,120.0,123.414727316721,32.601599996269215,400.3971000056481,801.8944399677679,21.19894997101071,0.0,120,140,150,160,180,200,230,260,360,400,400
,Aggregated,1341,0,120.0,193.66660096943718,3.128099997411482,2231.731599997147,754.0872483221476,22.907165117748075,0.0,120,140,150,160,180,240,2100,2100,2200,2200,2200
