Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772304212,50,,Aggregated,23.200000,0.000000,120,150,160,170,230,2100,2100,2200,2200,2200,2200,662,0,120.0,268.95844320244515,3.128099997411482,2231.731599997147,705.083081570997
1772304213,50,,Aggregated,23.800000,0.000000,120,150,160,170,230,2100,2100,2200,2200,2200,2200,685,0,120.0,264.26547328472253,3.128099997411482,2231.731599997147,708.3284671532847
1772304214,50,,Aggregated,23.200000,0.000000,120,150,160,170,220,2100,2100,2200,2200,2200,2200,710,0,120.0,259.4285184507153,3.128099997411482,2231.731599997147,711.6239436619718
1772304215,50,,Aggregated,23.500000,0.000000,120,150,160,160,220,2100,2100,2200,2200,2200,2200,735,0,120.0,254.47332149659178,3.128099997411482,2231.731599997147,714.691156462585
1772304216,50,,Aggregated,23.400000,0.000000,120,150,160,160,210,2100,2100,2200,2200,2200,2200,756,0,120.0,250.9581449735595,3.128099997411482,2231.731599997147,717.1190476190476
1772304217,50,,Aggregated,22.900000,0.000000,120,150,160,160,210,2100,2100,2200,2200,2200,2200,777,0,120.0,247.1901314028596,3.128099997411482,2231.731599997147,719.4195624195625
1772304218,50,,Aggregated,23.500000,0.000000,120,140,160,160,210,2100,2100,2200,2200,2200,2200,810,0,120.0,242.16390123455548,3.128099997411482,2231.731599997147,722.779012345679
1772304219,50,,Aggregated,23.100000,0.000000,120,150,160,160,200,2100,2100,2200,2200,2200,2200,825,0,120.0,240.26473672727164,3.128099997411482,2231.731599997147,724.219393939394
1772304220,50,,Aggregated,23.600000,0.000000,120,140,160,160,200,2100,2100,2200,2200,2200,2200,851,0,120.0,236.7081829612122,3.128099997411482,2231.731599997147,726.5922444183313
1772304221,50,,Aggregated,23.900000,0.000000,120,140,160,160,200,2100,2100,2200,2200,2200,2200,874,0,120.0,233.80369221967547,3.128099997411482,2231.731599997147,728.578947368421
1772304222,50,,Aggregated,23.400000,0.000000,120,140,150,160,200,2100,2100,2200,2200,2200,2200,901,0,120.0,229.9889422863556,3.128099997411482,2231.731599997147,730.7780244173141
1772304223,50,,Aggregated,23.300000,0.000000,120,140,150,160,200,2100,2100,2200,2200,2200,2200,923,0,120.0,227.46232903576612,3.128099997411482,2231.731599997147,732.4756229685808
1772304224,50,,Aggregated,23.300000,0.000000,120,140,150,160,200,2100,2100,2200,2200,2200,2200,944,0,120.0,225.43402891951547,3.128099997411482,2231.731599997147,734.0137711864406
1772304225,50,,Aggregated,23.600000,0.000000,120,140,150,160,200,2100,2100,2200,2200,2200,2200,970,0,120.0,222.2760495876539,3.128099997411482,2231.731599997147,735.8319587628866
1772304226,50,,Aggregated,23.100000,0.000000,120,140,150,160,200,2100,2100,2200,2200,2200,2200,993,0,120.0,220.11112960728025,3.128099997411482,2231.731599997147,737.3625377643505
1772304227,50,,Aggregated,23.400000,0.000000,120,140,150,160,200,400,2100,2200,2200,2200,2200,1014,0,120.0,217.69875591719165,3.128099997411482,2231.731599997147,738.6962524654832
