Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Authenticate - Login JWT,10,0,5,5.838830000720918,3.7099000037414953,12.981300002138596,215.4,0.17582732234929307,0.0,5,6,6,6,13,13,13,13,13,13,13
POST,Authenticate - Register User,10,0,2100.0,2096.5082300004724,2052.173000003677,2228.8322000022163,105.1,0.17582732234929307,0.0,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200
POST,Predict - High CPU ML Target,248,0,150.0,167.75569354849137,39.67489999922691,537.7909999951953,801.9717741935484,4.360517594262468,0.0,150,170,210,230,300,340,410,440,540,540,540
,Aggregated,268,0,150.0,233.68239776133504,3.7099000037414953,2228.8322000022163,754.0820895522388,4.712172238961054,0.0,150,180,210,250,320,420,2100,2100,2200,2200,2200
